,timestamp,x,y,z,Time
0,1648710945941,-0.036531046,3.6363363,9.021372,2022:03:31:16:15:45.941
1,1648710945941,-0.036531046,3.6411273,9.016582,2022:03:31:16:15:45.941
2,1648710945961,-0.01736722,3.6507094,8.983644,2022:03:31:16:15:45.961
3,1648710945982,0.006587566,3.6555002,8.917768,2022:03:31:16:15:45.982
4,1648710946003,-0.0125762625,3.6267545,8.993225,2022:03:31:16:15:46.003
5,1648710946021,-0.055694874,3.574054,9.035745,2022:03:31:16:15:46.021
6,1648710946042,-0.0748587,3.564472,9.01179,2022:03:31:16:15:46.042
7,1648710946061,-0.080248535,3.5303366,9.016582,2022:03:31:16:15:46.061
8,1648710946083,-0.13235019,3.5015907,9.045327,2022:03:31:16:15:46.083
9,1648710946100,-0.12755923,3.5159636,9.021372,2022:03:31:16:15:46.100
10,1648710946121,-0.07006775,3.574054,8.993225,2022:03:31:16:15:46.121
11,1648710946143,-0.16648576,3.6555002,8.941124,2022:03:31:16:15:46.143
12,1648710946164,-0.20002246,3.775873,8.974062,2022:03:31:16:15:46.164
13,1648710946183,-0.12755923,3.8046188,8.974062,2022:03:31:16:15:46.183
14,1648710946204,-0.20481342,3.785455,8.917768,2022:03:31:16:15:46.204
15,1648710946223,-0.2623049,3.7183816,8.945914,2022:03:31:16:15:46.223
16,1648710946245,-0.18564959,3.6315455,9.044728,2022:03:31:16:15:46.245
17,1648710946265,-0.17127672,3.5255456,9.040536,2022:03:31:16:15:46.265
18,1648710946286,-0.22816934,3.472845,9.016582,2022:03:31:16:15:46.286
19,1648710946304,-0.2760789,3.5303366,9.045327,2022:03:31:16:15:46.304
20,1648710946324,-0.19882472,3.5447094,9.0501175,2022:03:31:16:15:46.324
21,1648710946344,-0.17007898,3.5495002,9.05431,2022:03:31:16:15:46.344
22,1648710946365,-0.20361568,3.5207546,9.002808,2022:03:31:16:15:46.365
23,1648710946382,-0.19882472,3.5303366,9.030954,2022:03:31:16:15:46.382
24,1648710946405,-0.15570611,3.5303366,9.040536,2022:03:31:16:15:46.405
25,1648710946425,-0.107197665,3.5303366,9.030954,2022:03:31:16:15:46.425
26,1648710946452,-0.11198862,3.5255456,9.026163,2022:03:31:16:15:46.452
27,1648710946468,-0.08384175,3.5015907,9.0501175,2022:03:31:16:15:46.468
28,1648710946487,-0.03593218,3.5015907,9.05431,2022:03:31:16:15:46.487
29,1648710946507,-0.011977393,3.4967997,9.040536,2022:03:31:16:15:46.507
30,1648710946528,-0.026350264,3.5015907,9.035745,2022:03:31:16:15:46.528
31,1648710946548,-0.01676835,3.472845,9.021372,2022:03:31:16:15:46.548
32,1648710946566,0.011977393,3.487218,9.030954,2022:03:31:16:15:46.566
33,1648710946589,0.0071864356,3.492009,9.045327,2022:03:31:16:15:46.589
34,1648710946609,-0.0023954785,3.4967997,9.016582,2022:03:31:16:15:46.609
35,1648710946632,-0.0023954785,3.5159636,9.030954,2022:03:31:16:15:46.632
36,1648710946646,0.026350264,3.5303366,9.045327,2022:03:31:16:15:46.646
37,1648710946669,0.026350264,3.5159636,9.035745,2022:03:31:16:15:46.669
38,1648710946690,0.031141222,3.5111728,9.030954,2022:03:31:16:15:46.690
39,1648710946710,0.04551409,3.5399184,9.040536,2022:03:31:16:15:46.710
40,1648710946728,0.06527679,3.5495002,9.035745,2022:03:31:16:15:46.728
41,1648710946750,0.0748587,3.5303366,9.016582,2022:03:31:16:15:46.750
42,1648710946770,0.06527679,3.5303366,9.045327,2022:03:31:16:15:46.770
43,1648710946791,0.10360444,3.5351274,9.045327,2022:03:31:16:15:46.791
44,1648710946808,0.09881349,3.5447094,9.035745,2022:03:31:16:15:46.808
45,1648710946832,0.108395405,3.5590823,9.040536,2022:03:31:16:15:46.832
46,1648710946850,0.12755923,3.5399184,9.016582,2022:03:31:16:15:46.850
