6001,6112,Turn Left,1649140858161,1649140860423,2:0,2:2
6981,7135,Turn Left,1649140877998,1649140881116,2:19,2:22
8718,8818,Turn Right,1649140913134,1649140915157,2:54,2:56
8993,9127,Turn Left,1649140918703,1649140921411,2:59,3:2
10342,10469,Turn Left,1649140945988,1649140948561,3:26,3:29
12466,12589,Turn Left,1649140988959,1649140991449,4:9,4:11
16051,16185,Turn Left,1649141061486,1649141064195,5:21,5:23
17115,17286,Turn Left,1649141083010,1649141086468,5:42,5:45
19029,19112,Turn Right,1649141121730,1649141123408,6:20,6:22
19247,19337,Turn Left,1649141126138,1649141127960,6:24,6:26
20782,20915,Turn Left,1649141157196,1649141159886,6:55,6:58
2786,2986,Cruise,1649140793126,1649140797165,0:55,0:59
3890,4190,Cruise,1649140815445,1649140821518,1:17,1:23
3333,3566,Lane Change Right,1649140804183,1649140808904,1:6,1:11
4978,5056,Lane Change Right,1649140837465,1649140839042,1:39,1:41
13470,13671,Lane Change Right,1649141009269,1649141013335,4:29,4:33
14031,14226,Lane Change Right,1649141020621,1649141024565,4:40,4:44
15702,15803,Lane Change Right,1649141054425,1649141056466,5:14,5:16
