,Timestamp,Acc-x, Acc-y, Acc-z,Time
1,1640237328595,0.2838642,3.404574,9.025564,2021:12:23:14:28:48.595
2,1640237328616,0.30781898,3.4237378,9.01179,2021:12:23:14:28:48.616
3,1640237328635,0.3174009,3.4291275,8.983644,2021:12:23:14:28:48.635
4,1640237328661,0.31260994,3.4339185,8.992626,2021:12:23:14:28:48.661
5,1640237328677,0.35572857,3.4189467,9.016582,2021:12:23:14:28:48.677
6,1640237328698,0.3653105,3.3949919,9.006999,2021:12:23:14:28:48.698
7,1640237328715,0.36051953,3.4291275,9.030355,2021:12:23:14:28:48.715
8,1640237328743,0.36051953,3.4291275,9.016582,2021:12:23:14:28:48.743
9,1640237328759,0.38507318,3.4141557,9.002209,2021:12:23:14:28:48.759
10,1640237328779,0.3653105,3.4189467,9.01179,2021:12:23:14:28:48.779
11,1640237328797,0.34614664,3.4291275,9.006999,2021:12:23:14:28:48.797
12,1640237328820,0.3509376,3.4387095,8.978852,2021:12:23:14:28:48.820
13,1640237328843,0.33656475,3.4339185,8.987836,2021:12:23:14:28:48.843
14,1640237328860,0.2976382,3.399783,9.05431,2021:12:23:14:28:48.860
15,1640237328878,0.3120111,3.409365,9.039937,2021:12:23:14:28:48.878
16,1640237328901,0.2976382,3.4578733,8.983644,2021:12:23:14:28:48.901
17,1640237328919,0.28805628,3.4339185,8.987836,2021:12:23:14:28:48.919
18,1640237328943,0.28326535,3.404574,9.020773,2021:12:23:14:28:48.943
19,1640237328959,0.28805628,3.404574,9.035146,2021:12:23:14:28:48.959
20,1640237328982,0.29284725,3.4189467,9.006999,2021:12:23:14:28:48.982
21,1640237329000,0.26889247,3.4482913,8.997417,2021:12:23:14:28:49.000
22,1640237329026,0.2641015,3.4387095,8.987836,2021:12:23:14:28:49.026
23,1640237329043,0.28326535,3.4339185,9.030355,2021:12:23:14:28:49.043
24,1640237329062,0.2976382,3.4189467,9.030355,2021:12:23:14:28:49.062
25,1640237329079,0.2976382,3.4243367,9.01179,2021:12:23:14:28:49.079
26,1640237329103,0.3120111,3.4626641,8.987836,2021:12:23:14:28:49.103
27,1640237329128,0.321593,3.4243367,8.987836,2021:12:23:14:28:49.128
28,1640237329142,0.3120111,3.3949919,9.04952,2021:12:23:14:28:49.142
29,1640237329162,0.30722013,3.4141557,9.044728,2021:12:23:14:28:49.162
30,1640237329182,0.321593,3.4141557,9.01179,2021:12:23:14:28:49.182
31,1640237329201,0.34075683,3.4626641,8.997417,2021:12:23:14:28:49.201
32,1640237329227,0.34075683,3.4387095,8.983045,2021:12:23:14:28:49.227
33,1640237329244,0.25451958,3.390201,9.05431,2021:12:23:14:28:49.244
34,1640237329263,0.15810159,3.404574,9.063293,2021:12:23:14:28:49.263
35,1640237329285,0.0670734,3.4770372,9.002209,2021:12:23:14:28:49.285
36,1640237329309,-0.038926527,3.5249467,8.997417,2021:12:23:14:28:49.309
37,1640237329326,-0.10120897,3.4482913,9.04952,2021:12:23:14:28:49.326
38,1640237329345,-0.14432758,3.5153646,9.058502,2021:12:23:14:28:49.345
39,1640237329366,-0.2838642,3.6405284,8.936333,2021:12:23:14:28:49.366
