3322,3436,Turn Right,1649487602887,1649487605194,1:6,1:8
5032,5156,Turn Right,1649487637485,1649487640002,1:40,1:43
5334,5488,Turn Left,1649487643607,1649487646715,1:46,1:49
14075,14175,Turn Left,1649487820460,1649487822495,4:41,4:43
23844,23924,Turn Right,1649488018137,1649488019748,7:56,7:58
27356,27436,Turn Right,1649488089195,1649488090803,9:7,9:8
31558,31648,Turn Right,1649488174248,1649488176067,10:31,10:32
32940,33022,Turn Left,1649488202205,1649488203878,10:58,11:0
8148,8348,Cruise,1649487700535,1649487704581,2:42,2:46
8349,8449,Cruise,1649487704604,1649487706635,2:46,2:48
22822,22923,Lane Change Right,1649487997459,1649487999501,7:36,7:38
